number;panSizeRange.min;panSizeRange.max;funding;product.id;product.name;product.image.url;product.image.width;product.image.height;product.image.mimeType;product.url;issuer.code;issuer.name;country;isInternational;regexp;isCompany;isToken;is3DS;brand.id;brand.name;brand.image.url;brand.image.width;brand.image.height;brand.image.mimeType;brand.url;allowedCaptures;usages;network.id;network.name;network.image.url;network.image.width;network.image.height;network.image.mimeType;network.url;metadata.image.url;metadata.image.width;metadata.image.height;metadata.image.mimeType;metadata.backgroundColor;metadata.foregroundColor;metadata.issuer;metadata.brand;metadata.product;services
"509210";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509210$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509211";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509211$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509213";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509213$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509214";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509214$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509215";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509215$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509216";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509216$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509217";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509217$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509218";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509218$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509219";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";false;"^509219$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"650589";16;16;"CREDIT";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";true;"^650589$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"650590";16;16;"CREDIT";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";true;"^650590$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"651704";16;16;"MULTIPLE";"bff6fb97-c9b6-4536-86c4-827ba0c36a1d";"Nanquim";"";"";"";"";null;"";"";"BRL";true;"^651704$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509160";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509160$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509161";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509161$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509162";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509162$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509163";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509163$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509166";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509166$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509167";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509167$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509168";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509168$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509169";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509169$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509170";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509170$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509171";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509171$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509172";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509172$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509173";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509173$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509174";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509174$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509176";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509176$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509177";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509177$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509178";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509178$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509179";16;16;"MULTIPLE";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;"";"";"BRL";false;"^509179$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509075";16;16;"MULTIPLE";"83a46376-14d5-4bcd-a665-4001c4c810ef";"Basico";"";"";"";"";null;"";"";"";false;"^509075$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509843";16;16;"VOUCHER";"fdf583e6-8fb1-4d5e-9ee9-830d96d1094a";"Gift Card";"";"";"";"";null;"";"";"BRL";false;"^509843$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509834";16;16;"VOUCHER";"fdf583e6-8fb1-4d5e-9ee9-830d96d1094a";"Gift Card";"";"";"";"";null;"";"";"BRL";false;"^509834$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509872";16;16;"VOUCHER";"fdf583e6-8fb1-4d5e-9ee9-830d96d1094a";"Gift Card";"";"";"";"";null;"";"";"BRL";false;"^509872$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509869";16;16;"VOUCHER";"fdf583e6-8fb1-4d5e-9ee9-830d96d1094a";"Gift Card";"";"";"";"";null;"";"";"BRL";false;"^509869$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509875";16;16;"VOUCHER";"fdf583e6-8fb1-4d5e-9ee9-830d96d1094a";"Gift Card";"";"";"";"";null;"";"";"BRL";false;"^509875$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509858";16;16;"VOUCHER";"fdf583e6-8fb1-4d5e-9ee9-830d96d1094a";"Gift Card";"";"";"";"";null;"";"";"BRL";false;"^509858$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509837";16;16;"VOUCHER";"fdf583e6-8fb1-4d5e-9ee9-830d96d1094a";"Gift Card";"";"";"";"";null;"";"";"BRL";false;"^509837$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509868";16;16;"VOUCHER";"fdf583e6-8fb1-4d5e-9ee9-830d96d1094a";"Gift Card";"";"";"";"";null;"";"";"BRL";false;"^509868$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
